,0,1,2,3,4,5,6,7,8
0,N/A,len_text_normalized,hashtag_count_normalized,url_count_normalized,emoji_count_normalized,time_window_id_normalized,dayofweek_normalized,attachments_normalized,domain_id_normalized
1,log1p_likes_normalized,"executed 14.07 minutes
F1: 51.87
Precision: 57.99
Recall: 55.59
Accuracy: 55.38","executed 14.01 minutes
F1: 53.75
Precision: 55.36
Recall: 54.87
Accuracy: 54.75","executed 15.32 minutes
F1: 54.93
Precision: 55.23
Recall: 55.13
Accuracy: 55.17","executed 14.07 minutes
F1: 57.43
Precision: 57.48
Recall: 57.47
Accuracy: 57.44","executed 14.31 minutes
F1: 58.52
Precision: 58.55
Recall: 58.54
Accuracy: 58.53","executed 14.07 minutes
F1: 55.90
Precision: 58.71
Recall: 57.48
Accuracy: 57.43","executed 14.36 minutes
F1: 49.14
Precision: 62.23
Recall: 55.92
Accuracy: 55.46","executed 14.05 minutes
F1: 55.37
Precision: 57.43
Recall: 56.58
Accuracy: 56.68"
2,log1p_comments_normalized,"executed 14.01 minutes
F1: 51.62
Precision: 51.82
Recall: 51.79
Accuracy: 51.81","executed 13.95 minutes
F1: 50.83
Precision: 53.62
Recall: 53.01
Accuracy: 52.80","executed 15.38 minutes
F1: 53.96
Precision: 53.99
Recall: 53.99
Accuracy: 53.98","executed 14.15 minutes
F1: 55.63
Precision: 55.86
Recall: 55.78
Accuracy: 55.78","executed 14.28 minutes
F1: 54.10
Precision: 54.52
Recall: 54.43
Accuracy: 54.30","executed 14.14 minutes
F1: 55.56
Precision: 55.72
Recall: 55.68
Accuracy: 55.63","executed 15.42 minutes
F1: 40.91
Precision: 57.88
Recall: 52.00
Accuracy: 51.82","executed 13.94 minutes
F1: 55.73
Precision: 56.07
Recall: 55.95
Accuracy: 55.96"
3,log1p_views_normalized,"executed 14.11 minutes
F1: 54.22
Precision: 55.52
Recall: 55.12
Accuracy: 55.01","executed 14.71 minutes
F1: 44.90
Precision: 58.32
Recall: 53.26
Accuracy: 53.32","executed 14.81 minutes
F1: 53.54
Precision: 53.71
Recall: 53.68
Accuracy: 53.64","executed 14.18 minutes
F1: 55.09
Precision: 56.60
Recall: 56.05
Accuracy: 56.03","executed 14.49 minutes
F1: 53.87
Precision: 58.31
Recall: 56.46
Accuracy: 56.42","executed 14.11 minutes
F1: 56.61
Precision: 56.70
Recall: 56.66
Accuracy: 56.68","executed 14.79 minutes
F1: 56.63
Precision: 56.71
Recall: 56.67
Accuracy: 56.68","executed 14.29 minutes
F1: 56.98
Precision: 57.17
Recall: 57.09
Accuracy: 57.11"
4,log1p_reposts_normalized,"executed 14.05 minutes
F1: 54.17
Precision: 54.22
Recall: 54.19
Accuracy: 54.29","executed 15.29 minutes
F1: 53.40
Precision: 53.86
Recall: 53.72
Accuracy: 53.96","executed 14.12 minutes
F1: 54.02
Precision: 54.54
Recall: 54.42
Accuracy: 54.27","executed 14.09 minutes
F1: 51.14
Precision: 53.67
Recall: 53.02
Accuracy: 53.62","executed 14.39 minutes
F1: 54.07
Precision: 54.09
Recall: 54.08
Accuracy: 54.14","executed 14.11 minutes
F1: 44.56
Precision: 62.40
Recall: 54.13
Accuracy: 53.42","executed 14.00 minutes
F1: 55.78
Precision: 55.79
Recall: 55.79
Accuracy: 55.78","executed 14.41 minutes
F1: 52.93
Precision: 52.93
Recall: 52.93
Accuracy: 52.93"
