,0,1,2,3,4,5,6,7,8
0,N/A,len_text_normalized,hashtag_count_normalized,url_count_normalized,emoji_count_normalized,time_window_id_normalized,dayofweek_normalized,attachments_normalized,domain_id_normalized
1,log1p_likes_normalized,"executed 14.58 minutes
F1: 69.26
Precision: 69.27
Recall: 69.26
Accuracy: 69.26","executed 13.99 minutes
F1: 70.73
Precision: 70.74
Recall: 70.73
Accuracy: 70.73","executed 14.77 minutes
F1: 70.87
Precision: 70.87
Recall: 70.87
Accuracy: 70.87","executed 15.03 minutes
F1: 72.33
Precision: 72.42
Recall: 72.36
Accuracy: 72.35","executed 16.53 minutes
F1: 72.36
Precision: 72.46
Recall: 72.37
Accuracy: 72.39","executed 25.27 minutes
F1: 72.82
Precision: 72.91
Recall: 72.84
Accuracy: 72.84","executed 15.60 minutes
F1: 73.03
Precision: 73.13
Recall: 73.04
Accuracy: 73.06","executed 15.62 minutes
F1: 72.94
Precision: 73.02
Recall: 72.96
Accuracy: 72.95"
2,log1p_comments_normalized,"executed 14.46 minutes
F1: 67.54
Precision: 67.54
Recall: 67.55
Accuracy: 67.54","executed 14.56 minutes
F1: 68.08
Precision: 68.08
Recall: 68.08
Accuracy: 68.08","executed 14.29 minutes
F1: 68.59
Precision: 68.60
Recall: 68.59
Accuracy: 68.59","executed 15.23 minutes
F1: 70.40
Precision: 70.40
Recall: 70.40
Accuracy: 70.40","executed 16.16 minutes
F1: 70.35
Precision: 70.35
Recall: 70.35
Accuracy: 70.35","executed 36.38 minutes
F1: 70.19
Precision: 70.19
Recall: 70.19
Accuracy: 70.19","executed 15.97 minutes
F1: 69.98
Precision: 69.98
Recall: 69.98
Accuracy: 69.98","executed 15.52 minutes
F1: 70.79
Precision: 70.80
Recall: 70.79
Accuracy: 70.80"
3,log1p_views_normalized,"executed 14.26 minutes
F1: 70.02
Precision: 70.03
Recall: 70.02
Accuracy: 70.02","executed 14.89 minutes
F1: 72.20
Precision: 72.20
Recall: 72.20
Accuracy: 72.20","executed 14.49 minutes
F1: 72.39
Precision: 72.40
Recall: 72.40
Accuracy: 72.40","executed 14.80 minutes
F1: 73.98
Precision: 74.02
Recall: 73.99
Accuracy: 73.99","executed 15.95 minutes
F1: 73.95
Precision: 73.98
Recall: 73.96
Accuracy: 73.96","executed 664.05 minutes
F1: 74.30
Precision: 74.32
Recall: 74.30
Accuracy: 74.32","executed 15.28 minutes
F1: 74.35
Precision: 74.39
Recall: 74.36
Accuracy: 74.36","executed 15.73 minutes
F1: 74.70
Precision: 74.73
Recall: 74.71
Accuracy: 74.70"
4,log1p_reposts_normalized,"executed 13.82 minutes
F1: 67.87
Precision: 68.02
Recall: 67.90
Accuracy: 67.94","executed 14.37 minutes
F1: 68.89
Precision: 69.06
Recall: 68.91
Accuracy: 68.97","executed 14.27 minutes
F1: 68.68
Precision: 68.81
Recall: 68.69
Accuracy: 68.76","executed 14.50 minutes
F1: 70.29
Precision: 70.51
Recall: 70.32
Accuracy: 70.39","executed 30.47 minutes
F1: 70.54
Precision: 70.69
Recall: 70.54
Accuracy: 70.62","executed 15.25 minutes
F1: 70.50
Precision: 70.71
Recall: 70.51
Accuracy: 70.61","executed 15.57 minutes
F1: 70.22
Precision: 70.38
Recall: 70.22
Accuracy: 70.31","executed 16.40 minutes
F1: 70.98
Precision: 71.10
Recall: 71.00
Accuracy: 71.03"
